Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals,Home Team Name,Away Team Name,Home is Winner,Goal Difference,Home Goals Ratio,Away Goals Ratio,Home Team Evaluation,Away Team Evaluation,Penalties,Penalties Winner
1,1,43,9,1 - 0,43,1,0,1,Dinamo Zagreb,Chelsea,1,1,1.0,0.0,7.0,21.0,0,
2,1,13,38,3 - 0,13,3,0,3,Borussia Dortmund,FC København,1,3,1.0,0.0,18.0,7.0,0,
3,1,28,25,1 - 1,25,1,1,2,FC Salzburg,AC Milan,0,0,0.5,0.5,9.0,24.0,0,
4,1,50,1,0 - 3,1,0,3,3,Celtic,Real Madrid,0,-3,0.0,1.0,6.0,29.0,0,
5,1,24,21,1 - 4,21,1,4,5,RB Leipzig,Shakhtar Donetsk,0,-3,0.2,0.8,18.0,11.0,0,
6,1,10,4,0 - 4,4,0,4,4,Sevilla,Manchester City,0,-4,0.0,1.0,21.0,33.0,0,
7,1,8,6,2 - 1,8,2,1,3,Paris Saint-Germain,Juventus,1,1,0.6666666666666666,0.3333333333333333,19.0,17.0,0,
8,1,20,162,2 - 0,20,2,0,2,Benfica,Maccabi Haifa,1,2,1.0,0.0,25.0,6.0,0,
9,1,17,49,4 - 0,17,4,0,4,Ajax,Glasgow Rangers,1,4,1.0,0.0,8.0,4.0,0,
10,1,35,29,0 - 3,29,0,3,3,Eintracht Frankfurt,Sporting CP Lisbon,0,-3,0.0,1.0,16.0,14.0,0,
11,1,16,5,4 - 1,16,4,1,5,Napoli,Liverpool,1,3,0.8,0.2,25.0,19.0,0,
12,1,7,12,2 - 1,7,2,1,3,Atlético Madrid,FC Porto,1,1,0.6666666666666666,0.3333333333333333,8.0,18.0,0,
13,1,31,22,1 - 0,31,1,0,1,Club Brugge,Bayer Leverkusen,1,1,1.0,0.0,17.0,19.0,0,
14,1,3,60,5 - 1,3,5,1,6,FC Barcelona,Viktoria Plzen,1,4,0.8333333333333334,0.16666666666666666,9.0,4.0,0,
15,1,18,2,0 - 2,2,0,2,2,Internazionale,Bayern München,0,-2,0.0,1.0,29.0,27.0,0,
16,1,23,42,2 - 0,23,2,0,2,Tottenham Hotspur,Olympique Marseille,1,2,1.0,0.0,18.0,8.0,0,
17,2,60,18,0 - 2,18,0,2,2,Viktoria Plzen,Internazionale,0,-2,0.0,1.0,4.0,29.0,0,
18,2,29,23,2 - 0,29,2,0,2,Sporting CP Lisbon,Tottenham Hotspur,1,2,1.0,0.0,14.0,18.0,0,
19,2,5,17,2 - 1,5,2,1,3,Liverpool,Ajax,1,1,0.6666666666666666,0.3333333333333333,19.0,8.0,0,
21,2,12,31,0 - 4,31,0,4,4,FC Porto,Club Brugge,0,-4,0.0,1.0,18.0,17.0,0,
22,2,22,7,2 - 0,22,2,0,2,Bayer Leverkusen,Atlético Madrid,1,2,1.0,0.0,19.0,8.0,0,
23,2,2,3,2 - 0,2,2,0,2,Bayern München,FC Barcelona,1,2,1.0,0.0,27.0,9.0,0,
24,2,42,35,0 - 1,35,0,1,1,Olympique Marseille,Eintracht Frankfurt,0,-1,0.0,1.0,8.0,16.0,0,
25,2,25,43,3 - 1,25,3,1,4,AC Milan,Dinamo Zagreb,1,2,0.75,0.25,24.0,7.0,0,
26,2,21,50,1 - 1,50,1,1,2,Shakhtar Donetsk,Celtic,0,0,0.5,0.5,11.0,6.0,0,
20,2,49,16,0 - 3,16,0,3,3,Glasgow Rangers,Napoli,0,-3,0.0,1.0,4.0,25.0,0,
27,2,9,28,1 - 1,28,1,1,2,Chelsea,FC Salzburg,0,0,0.5,0.5,21.0,9.0,0,
28,2,1,24,2 - 0,1,2,0,2,Real Madrid,RB Leipzig,1,2,1.0,0.0,29.0,18.0,0,
29,2,4,13,2 - 1,4,2,1,3,Manchester City,Borussia Dortmund,1,1,0.6666666666666666,0.3333333333333333,33.0,18.0,0,
30,2,38,10,0 - 0,10,0,0,0,FC København,Sevilla,0,0,,,7.0,21.0,1,10.0
