Match Number,Round Number,Home Team,Away Team,Result,Winner,Home Team Goals,Away Team Goals,Match Goals
1,1,Internazionale,Tottenham Hotspur,2 - 1,Internazionale,2,1,3
2,1,FC Barcelona,PSV Eindhoven,4 - 0,FC Barcelona,4,0,4
3,1,AS Monaco,Atlético Madrid,1 - 2,Atlético Madrid,1,2,3
4,1,Club Brugge,Borussia Dortmund,0 - 1,Borussia Dortmund,0,1,1
5,1,Crvena zvezda,Napoli,0 - 0,Napoli,0,0,0
6,1,Liverpool,Paris Saint-Germain,3 - 2,Liverpool,3,2,5
7,1,Schalke 04,FC Porto,1 - 1,FC Porto,1,1,2
8,1,Galatasaray,Lokomotiv Moscow,3 - 0,Galatasaray,3,0,3
9,1,Ajax,AEK Athens,3 - 0,Ajax,3,0,3
10,1,Shakhtar Donetsk,1899 Hoffenheim,2 - 2,1899 Hoffenheim,2,2,4
11,1,Benfica,Bayern München,0 - 2,Bayern München,0,2,2
12,1,Manchester City,Olympique Lyon,1 - 2,Olympique Lyon,1,2,3
13,1,Viktoria Plzen,CSKA Moscow,2 - 2,CSKA Moscow,2,2,4
14,1,Real Madrid,AS Roma,3 - 0,Real Madrid,3,0,3
15,1,Valencia,Juventus,0 - 2,Juventus,0,2,2
16,1,Young Boys,Manchester United,0 - 3,Manchester United,0,3,3
17,2,1899 Hoffenheim,Manchester City,1 - 2,Manchester City,1,2,3
18,2,Juventus,Young Boys,3 - 0,Juventus,3,0,3
19,2,AEK Athens,Benfica,2 - 3,Benfica,2,3,5
20,2,Bayern München,Ajax,1 - 1,Ajax,1,1,2
21,2,Olympique Lyon,Shakhtar Donetsk,2 - 2,Shakhtar Donetsk,2,2,4
22,2,AS Roma,Viktoria Plzen,5 - 0,AS Roma,5,0,5
23,2,CSKA Moscow,Real Madrid,1 - 0,CSKA Moscow,1,0,1
24,2,Manchester United,Valencia,0 - 0,Valencia,0,0,0
25,2,Paris Saint-Germain,Crvena zvezda,6 - 1,Paris Saint-Germain,6,1,7
26,2,Lokomotiv Moscow,Schalke 04,0 - 1,Schalke 04,0,1,1
27,2,Borussia Dortmund,AS Monaco,3 - 0,Borussia Dortmund,3,0,3
28,2,Atlético Madrid,Club Brugge,3 - 1,Atlético Madrid,3,1,4
29,2,PSV Eindhoven,Internazionale,1 - 2,Internazionale,1,2,3
30,2,Tottenham Hotspur,FC Barcelona,2 - 4,FC Barcelona,2,4,6
31,2,Napoli,Liverpool,1 - 0,Napoli,1,0,1
32,2,FC Porto,Galatasaray,1 - 0,FC Porto,1,0,1
33,3,AEK Athens,Bayern München,0 - 2,Bayern München,0,2,2
34,3,Young Boys,Valencia,1 - 1,Valencia,1,1,2
35,3,Ajax,Benfica,1 - 0,Ajax,1,0,1
36,3,Shakhtar Donetsk,Manchester City,0 - 3,Manchester City,0,3,3
37,3,1899 Hoffenheim,Olympique Lyon,3 - 3,Olympique Lyon,3,3,6
38,3,Real Madrid,Viktoria Plzen,2 - 1,Real Madrid,2,1,3
39,3,AS Roma,CSKA Moscow,3 - 0,AS Roma,3,0,3
40,3,Manchester United,Juventus,0 - 1,Juventus,0,1,1
41,3,Club Brugge,AS Monaco,1 - 1,AS Monaco,1,1,2
42,3,PSV Eindhoven,Tottenham Hotspur,2 - 2,Tottenham Hotspur,2,2,4
43,3,Borussia Dortmund,Atlético Madrid,4 - 0,Borussia Dortmund,4,0,4
44,3,FC Barcelona,Internazionale,2 - 0,FC Barcelona,2,0,2
45,3,Liverpool,Crvena zvezda,4 - 0,Liverpool,4,0,4
46,3,Paris Saint-Germain,Napoli,2 - 2,Napoli,2,2,4
47,3,Galatasaray,Schalke 04,0 - 0,Schalke 04,0,0,0
48,3,Lokomotiv Moscow,FC Porto,1 - 3,FC Porto,1,3,4
49,4,AS Monaco,Club Brugge,0 - 4,Club Brugge,0,4,4
50,4,Crvena zvezda,Liverpool,2 - 0,Crvena zvezda,2,0,2
51,4,Atlético Madrid,Borussia Dortmund,2 - 0,Atlético Madrid,2,0,2
52,4,Internazionale,FC Barcelona,1 - 1,FC Barcelona,1,1,2
53,4,Tottenham Hotspur,PSV Eindhoven,2 - 1,Tottenham Hotspur,2,1,3
